scenario,attack,start,end
russellmitchell,network_scans,1642993260.0,1642996606.0
russellmitchell,service_scans,1642996606.0,1642996645.0
russellmitchell,dirb,1642996645.0,1642996668.0
russellmitchell,wpscan,1642996668.0,1642996699.0
russellmitchell,webshell,1642996699.0,1642996762.0
russellmitchell,cracking,1642996762.0,1642999016.0
russellmitchell,reverse_shell,1642999016.0,1642999059.0
russellmitchell,privilege_escalation,1642999059.0,1642999093.0
russellmitchell,service_stop,1643032238.0,1643032240.0
russellmitchell,dnsteal,1643032240.0,1643035840.0
fox,network_scans,1642507140.0,1642508220.0
fox,service_scans,1642508220.0,1642508267.0
fox,wpscan,1642508267.0,1642508310.0
fox,dirb,1642508310.0,1642509480.0
fox,webshell,1642509480.0,1642509510.0
fox,cracking,1642509510.0,1642511630.0
fox,reverse_shell,1642511630.0,1642511670.0
fox,privilege_escalation,1642511670.0,1642511693.0
fox,service_stop,1642410286.0,1642410288.0
fox,dnsteal,1642410288.0,1642413600.0
harrison,network_scans,1644303900.0,1644304579.0
harrison,service_scans,1644304579.0,1644305316.0
harrison,wpscan,1644305316.0,1644305380.0
harrison,dirb,1644305380.0,1644306959.0
harrison,webshell,1644306959.0,1644306997.0
harrison,cracking,1644306997.0,1644309359.0
harrison,reverse_shell,1644309359.0,1644309397.0
harrison,privilege_escalation,1644309397.0,1644309446.0
harrison,service_stop,1644311699.0,1644311701.0
harrison,dnsteal,1644311701.0,1644318901.0
santos,network_scans,1642418100.0,1642418490.0
santos,service_scans,1642418490.0,1642418520.0
santos,dirb,1642418520.0,1642418541.0
santos,wpscan,1642418541.0,1642418578.0
santos,webshell,1642418578.0,1642418656.0
santos,cracking,1642418656.0,1642420655.0
santos,reverse_shell,1642420655.0,1642420697.0
santos,privilege_escalation,1642420697.0,1642420739.0
santos,service_stop,1642317377.0,1642317379.0
santos,dnsteal,1642317379.0,1642320979.0
shaw,network_scans,1643467020.0,1643467117.0
shaw,service_scans,1643467117.0,1643467130.0
shaw,wpscan,1643467130.0,1643467154.0
shaw,dirb,1643467154.0,1643467180.0
shaw,webshell,1643467180.0,1643467201.0
shaw,cracking,1643467201.0,1643469610.0
shaw,reverse_shell,1643469610.0,1643469650.0
shaw,privilege_escalation,1643469650.0,1643469672.0
shaw,service_stop,1643404080.0,1643404082.0
shaw,dnsteal,1643404082.0,1643407682.0
wardbeck,network_scans,1642939800.0,1642939860.0
wardbeck,service_scans,1642939860.0,1642939887.0
wardbeck,wpscan,1642939887.0,1642939909.0
wardbeck,dirb,1642939909.0,1642939937.0
wardbeck,webshell,1642939937.0,1642940025.0
wardbeck,cracking,1642940025.0,1642942457.0
wardbeck,reverse_shell,1642942457.0,1642942500.0
wardbeck,privilege_escalation,1642942500.0,1642942531.0
wardbeck,service_stop,1642716747.0,1642716749.0
wardbeck,dnsteal,1642716749.0,1642720349.0
wheeler,network_scans,1643528113.0,1643528343.0
wheeler,service_scans,1643528343.0,1643528369.0
wheeler,wpscan,1643529364.0,1643529406.0
wheeler,dirb,1643528369.0,1643529364.0
wheeler,webshell,1643529406.0,1643529428.0
wheeler,reverse_shell,1643565072.0,1643565112.0
wheeler,privilege_escalation,1643565112.0,1643565140.0
wheeler,service_stop,1643434044.0,1643434046.0
wheeler,dnsteal,1643434046.0,1643437646.0
wilson,network_scans,1644231437.0,1644231553.0
wilson,service_scans,1644231553.0,1644231584.0
wilson,wpscan,1644232793.0,1644232827.0
wilson,dirb,1644231584.0,1644232793.0
wilson,webshell,1644232827.0,1644232839.0
wilson,cracking,1644232839.0,1644234460.0
wilson,reverse_shell,1644234460.0,1644234498.0
wilson,privilege_escalation,1644234498.0,1644234533.0
wilson,service_stop,1644144435.0,1644144437.0
wilson,dnsteal,1644144437.0,1644148037.0